,Model Name,N,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,50,0.0,Mean,0.00045780806249240413,1.5428053568203093,0.050150781287195,3.1777681263909474,0.8000007793307304,0.0
1,Vanilla,50,0.0,Std,0.00018196361769974058,0.2871832179473832,0.008098549584152718,0.5549259311749164,1.004668732885602e-06,0.0
2,Gaussian,50,1.0,Mean,0.0012475320545490831,2.556286008678973,0.06226347114688156,4.3792479071605115,0.9096952974796295,0.059071870520710945
3,Gaussian,50,1.0,Std,0.0004026262338410587,0.41993821416359023,0.018551230519696985,0.5254285124172764,7.245091069426071e-07,0.0040517533769934945
4,Hard Bimodal,50,2.0,Mean,0.006306241062702611,5.254170229695859,0.106423570433438,1.296958874735298,0.9096957296133041,0.015910868416540325
5,Hard Bimodal,50,2.0,Std,0.007460854257940753,2.5134336435976516,0.0620312513297154,0.05762356587545948,9.371160080152824e-07,0.0006460483476072165
6,Soft Trimodal,50,3.0,Mean,0.0027020688576158136,3.773660110027575,0.08255204132515047,2.2242621056321745,0.9096953645348549,0.026910181622952223
7,Soft Trimodal,50,3.0,Std,0.0008592028016609978,0.5430827550557698,0.03819974831856156,0.32982099283419064,9.973486446137624e-07,0.0017625939336979428
8,Edgy trimodal,50,4.0,Mean,0.001908021469716914,3.0990508625307314,0.11445072353708985,1.4413849973661632,0.9096951633691788,0.010320183471776545
9,Edgy trimodal,50,4.0,Std,0.0011215478029875626,0.8123132494342178,0.09875913767867608,0.15673322109130514,1.3040857445432087e-06,0.0005619628687398911
0,Vanilla,100,0.0,Mean,0.00016680801491020247,0.9389449726189711,0.05649266115500174,3.549598188016575,0.8000005558133125,0.0
1,Vanilla,100,0.0,Std,4.4802369217061495e-05,0.12532229877837162,0.01085721449445568,0.3630681974310449,1.4065425406758225e-06,0.0
2,Gaussian,100,1.0,Mean,0.0006783857497794088,1.8875497265946088,0.07582727804565179,4.5406321362153825,0.9096957519650459,0.06083817593753338
3,Gaussian,100,1.0,Std,0.0002028551306766968,0.29402269984384555,0.025282622997121213,0.48010639877042227,1.0947790947191528e-06,0.004110108959367936
4,Hard Bimodal,100,2.0,Mean,0.0009942810502252541,2.263802516331325,0.17791495718857533,1.2870134533635496,0.9096955060958862,0.015659325406886637
5,Hard Bimodal,100,2.0,Std,0.000410038800190977,0.47308718946206796,0.14004354021746795,0.03082140170481817,1.6356018464579873e-06,0.00021423901994008164
6,Soft Trimodal,100,3.0,Mean,0.0006685508487862535,1.8795387212938466,0.08763645230532947,2.1842993140263247,0.9096943885087967,0.027267103316262364
7,Soft Trimodal,100,3.0,Std,0.00018495600910615567,0.2524320484942065,0.028125990781654713,0.11043813795688233,1.993361032310363e-06,0.0010745142944895952
8,Edgy trimodal,100,4.0,Mean,0.0006599477183044655,1.7554295839265128,0.07577397753963565,1.5360694094991827,0.9096942767500877,0.010794899542815983
9,Edgy trimodal,100,4.0,Std,0.000606316145631625,0.6845255617817302,0.03569101571024665,0.09817429686390002,1.5199001804358057e-06,0.00048674648694311287
0,Vanilla,150,0.0,Mean,0.00010229548115603393,0.7308883958353651,0.05610864838852036,3.2160672732235143,0.7999996542930603,0.0
1,Vanilla,150,0.0,Std,3.686588983141251e-05,0.12683931239841548,0.018950898602216784,0.3631189582128488,1.276639103329414e-06,0.0
2,Gaussian,150,1.0,Mean,0.00042445959661563393,1.4901394810074151,0.0636260559960996,4.759198004612215,0.9096957966685295,0.06195013644173741
3,Gaussian,150,1.0,Std,0.00014050447188039057,0.25062502871629405,0.020058475181168194,0.5972160687285287,1.315845096527005e-06,0.003559559154397066
4,Hard Bimodal,150,2.0,Mean,0.0002771189047052758,1.2098470317112515,0.150702348555404,1.29427279916559,0.9096950590610504,0.01613781531341374
5,Hard Bimodal,150,2.0,Std,7.717403003198531e-05,0.16430900879320326,0.11969722798375539,0.03422608978239825,1.0986512059668757e-06,0.0002502807358239364
6,Soft Trimodal,150,3.0,Mean,0.00032848063347046264,1.322873820870106,0.11965589311499163,2.3570746936524314,0.9096957445144653,0.02802876103669405
7,Soft Trimodal,150,3.0,Std,6.387848676906753e-05,0.13048481358183076,0.08085822648011584,0.19713232949609577,1.0716411230781795e-06,0.000839301048590024
8,Edgy trimodal,150,4.0,Mean,0.0001528126795165008,0.902964399633146,0.12244661888306675,1.4756328177035922,0.9096952900290489,0.010831194464117289
9,Edgy trimodal,150,4.0,Std,2.7714253329005352e-05,0.08180746202094817,0.12056135707345665,0.07616869520307347,1.8022244504201265e-06,0.0004942566374016746
0,Vanilla,200,0.0,Mean,6.966683486098191e-05,0.610098532948635,0.049024277127647925,3.294637985102211,0.7999995797872543,0.0
1,Vanilla,200,0.0,Std,1.1398227165380389e-05,0.050438218857471746,0.00593548037674805,0.2753011633310044,1.0977413497396119e-06,0.0
2,Gaussian,200,1.0,Mean,0.0003168412258673925,1.3008183646582037,0.06931143483441676,4.913838377677034,0.9096953198313713,0.06103258300572634
3,Gaussian,200,1.0,Std,5.1134545616351506e-05,0.11081645817515014,0.02279890636998495,0.3696228313113966,1.0517465049075631e-06,0.0013662679182522182
4,Hard Bimodal,200,2.0,Mean,0.00016750930717535084,0.9365833978678106,0.1426788131265387,1.2959872861184167,0.9096948355436325,0.01607035333290696
5,Hard Bimodal,200,2.0,Std,5.8217041031534536e-05,0.15462022327609476,0.09718373859070041,0.020791595693524144,1.4516974014385615e-06,0.00015923218894546668
6,Soft Trimodal,200,3.0,Mean,0.00019955148854933213,1.0308967780174532,0.12305363434078856,2.2431891193160025,0.9096947833895683,0.027375010307878256
7,Soft Trimodal,200,3.0,Std,3.9529547650360974e-05,0.10351190376519681,0.059828014512837854,0.23378860168729126,1.4290943862982623e-06,0.000670234754394137
8,Edgy trimodal,200,4.0,Mean,9.724869778438006e-05,0.7203912016717816,0.11187080678459095,1.520837594023185,0.9096940755844116,0.010742317419499159
9,Edgy trimodal,200,4.0,Std,1.7400693335608825e-05,0.0646066188626282,0.08849891940014804,0.06756707909032177,1.3237734028406626e-06,0.0004081214439690181
0,Vanilla,250,0.0,Mean,5.658475720338174e-05,0.5498393633543527,0.055777665718731204,3.1930813087378205,0.7999984920024872,0.0
1,Vanilla,250,0.0,Std,8.87320731125064e-06,0.04546944067138826,0.01790895148738729,0.17243388719415786,2.36266827290995e-06,0.0
2,Gaussian,250,1.0,Mean,0.0002720230677368818,1.1957386163731643,0.058417265826759934,5.094892791799116,0.9096956998109818,0.061492728535085917
3,Gaussian,250,1.0,Std,7.825784390229216e-05,0.1830958273086113,0.020307534109955862,0.5054387057459973,8.625957750324192e-07,0.0027292817681082615
4,Hard Bimodal,250,2.0,Mean,0.00011628313222900033,0.7887817906820429,0.1073582281761026,1.2937054065271132,0.9096948057413101,0.015972178429365158
5,Hard Bimodal,250,2.0,Std,1.704315271831527e-05,0.057915424847920276,0.05637114019732547,0.02592891850747647,2.1568626562172035e-06,0.00025563460077425264
6,Soft Trimodal,250,3.0,Mean,0.0001320538749496336,0.8416214957372932,0.1452847754542283,2.355962178165228,0.9096959158778191,0.027490791399031878
7,Soft Trimodal,250,3.0,Std,1.4089046139755917e-05,0.04517706620832346,0.09151362024644213,0.1701602741220196,1.8290075195715546e-06,0.000911218740486372
8,Edgy trimodal,250,4.0,Mean,7.89462092143367e-05,0.6506447841438013,0.09530111649592503,1.5005248808898515,0.9096942842006683,0.010593386017717421
9,Edgy trimodal,250,4.0,Std,8.681109946126488e-06,0.03664511518438223,0.07522498937766485,0.05917074053644922,1.4336125219828718e-06,0.0001916179882257596
