,Model Name,N,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,50,0.0,Mean,4.122240045489889e-05,0.4496643127429044,0.04899399080387692,3.094537780694825,0.7999995648860931,0.0
1,Vanilla,50,0.0,Std,2.0139247396523015e-05,0.11964387779499572,0.010678565643103164,0.37476890846689925,1.3140086939959885e-06,0.0
2,Gaussian,50,1.0,Mean,8.889261903277657e-05,0.6576038160841842,0.05322622150524741,4.212149320459862,0.9096947908401489,0.0609319219365716
3,Gaussian,50,1.0,Std,5.0997430006680857e-05,0.18560290187839731,0.015040389155430146,1.0951490745295693,5.982774466241816e-07,0.006781302559423386
4,Hard Bimodal,50,2.0,Mean,8.689704088737926e-06,0.19661922631721906,0.16200506567314274,1.2877339573067226,0.9096951559185982,0.01560363091994077
5,Hard Bimodal,50,2.0,Std,6.8806388462307186e-06,0.08355754719978746,0.11946732690868754,0.04295825392017504,1.164747622852569e-06,0.0007914980310522551
6,Soft Trimodal,50,3.0,Mean,0.00010067430775961839,0.7238151358530402,0.12013538895299007,2.358029902195727,0.9096954315900803,0.027917456813156605
7,Soft Trimodal,50,3.0,Std,2.0343843092680984e-05,0.06974163177473519,0.09315287519714795,0.1798765884542173,1.9975894460843892e-06,0.0018318372102756706
8,Edgy trimodal,50,4.0,Mean,1.572843274288971e-05,0.2789641275652551,0.1230733713249487,1.4839455049443842,0.9096943959593773,0.010493566747754812
9,Edgy trimodal,50,4.0,Std,7.440845786220908e-06,0.06920661378016454,0.10879824987574147,0.08423734415796907,1.2189614370467502e-06,0.0007618178402183347
0,Vanilla,100,0.0,Mean,1.951654121512547e-05,0.3046921814955928,0.05569923068653356,3.3707505025806896,0.8000003173947334,0.0
1,Vanilla,100,0.0,Std,1.2220113546136155e-05,0.09833371409629432,0.01790297924095717,0.472514283662014,6.436456491260367e-07,0.0
2,Gaussian,100,1.0,Mean,5.884797042199352e-05,0.5446383965966997,0.05704348047727024,4.649447336784574,0.9096953272819519,0.06075509125366807
3,Gaussian,100,1.0,Std,2.138189815211598e-05,0.11160892997567269,0.013154681539632973,0.6141193268989948,7.650552781220338e-07,0.0032454337548705327
4,Hard Bimodal,100,2.0,Mean,5.449215905173332e-07,0.052636822790788525,0.1415990452498008,1.2964159133613486,0.9096947386860847,0.01617456809617579
5,Hard Bimodal,100,2.0,Std,2.2096989752527398e-07,0.009563464131836315,0.08588389116824881,0.03971342799364395,8.680805711247805e-07,0.0002951636442944091
6,Soft Trimodal,100,3.0,Mean,4.627205748874985e-05,0.488608392828782,0.1334335865405617,2.3322016587744026,0.9096958190202713,0.02837458369322121
7,Soft Trimodal,100,3.0,Std,1.1787977241567981e-05,0.06555027288184538,0.10143905039721306,0.1641140277682828,1.3390333023377827e-06,0.0010764377325958529
8,Edgy trimodal,100,4.0,Mean,2.4525429793698095e-06,0.10519506696318173,0.19742123411887594,1.5219246666331026,0.9096957072615623,0.01073035562876612
9,Edgy trimodal,100,4.0,Std,1.8906809773535813e-06,0.0426087298459443,0.1754657496501462,0.09527721010401102,1.3783171364338966e-06,0.0003677010012345908
0,Vanilla,150,0.0,Mean,6.936228970744196e-06,0.1854911871063255,0.05545040089167808,3.408785983001965,0.8000008016824722,0.0
1,Vanilla,150,0.0,Std,3.3984900411388506e-06,0.044991284173709324,0.019833977847526246,0.29669269903102946,9.1067919675097e-07,0.0
2,Gaussian,150,1.0,Mean,3.543786624504719e-05,0.4278827672871783,0.08155690505820806,4.738421380731122,0.909694030880928,0.060969187412410975
3,Gaussian,150,1.0,Std,9.303521188598404e-06,0.05519821958340814,0.058883939118194055,0.3578155631210211,1.0003774459658295e-06,0.002028598352033285
4,Hard Bimodal,150,2.0,Mean,1.611567768122768e-07,0.02779993627036092,0.226406427187005,1.3096994552970145,0.9096947014331818,0.016242734855040908
5,Hard Bimodal,150,2.0,Std,1.0293085184068565e-07,0.00857952201247079,0.1631168554387435,0.04249220470861845,1.49962253873457e-06,0.0004003555892880851
6,Soft Trimodal,150,3.0,Mean,2.5811808427533833e-05,0.36168580887903223,0.11870333169548086,2.4100713944020273,0.9096953272819519,0.02873016521334648
7,Soft Trimodal,150,3.0,Std,9.433583559903475e-06,0.06895568952487523,0.05686724341523054,0.26315077550998855,1.4883269058685032e-06,0.0013447083484165625
8,Edgy trimodal,150,4.0,Mean,2.75392658011242e-07,0.037595877567864776,0.08885812606896458,1.5036393853745802,0.9096950367093086,0.01060045335907489
9,Edgy trimodal,150,4.0,Std,8.446529471846342e-08,0.005744258255208574,0.060128406727833816,0.108411549941506,1.3687793340075612e-06,0.0004962235113380052
0,Vanilla,200,0.0,Mean,3.887154804260717e-06,0.13900839930732542,0.0551839822544954,3.3547628501368543,0.8000003919005394,0.0
1,Vanilla,200,0.0,Std,2.017549184772938e-06,0.03306343091422755,0.01784882901120073,0.23619347305584734,1.663316045198464e-06,0.0
2,Gaussian,200,1.0,Mean,2.964589475595858e-05,0.38607930574634297,0.07090473528627389,4.957774282452565,0.9096941873431206,0.06184403784573078
3,Gaussian,200,1.0,Std,1.2047591363409203e-05,0.08156027370316578,0.018963718964526935,0.6421206606979506,1.1136811266965035e-06,0.00343126476783197
4,Hard Bimodal,200,2.0,Mean,4.8130659013878585e-08,0.015675026567026365,0.24040978254723758,1.2895341671712186,0.9096942916512489,0.016327578341588378
5,Hard Bimodal,200,2.0,Std,1.7218696374792372e-08,0.002662796435134556,0.24451529819910425,0.04144318906481935,1.602948738120228e-06,0.00023124619369606418
6,Soft Trimodal,200,3.0,Mean,1.2561703840674454e-05,0.2518692082295071,0.13406439477646442,2.383665692318872,0.9096955209970474,0.028325316961854696
7,Soft Trimodal,200,3.0,Std,5.012344367100993e-06,0.050396561496903323,0.1105502081962803,0.20387902141686798,1.0731940019149088e-06,0.001121051390432162
8,Edgy trimodal,200,4.0,Mean,1.3025346223827228e-07,0.025546605807497604,0.2113698343374945,1.5086760763750713,0.909693218767643,0.010653701494447887
9,Edgy trimodal,200,4.0,Std,5.519739395961427e-08,0.005612659997797884,0.18196137412805302,0.04805233891997316,2.197491878655835e-06,0.0003357961610091397
0,Vanilla,250,0.0,Mean,2.621036841787827e-06,0.1156212649536253,0.0514088946240636,3.3820808919431293,0.7999999299645424,0.0
1,Vanilla,250,0.0,Std,1.00665029619168e-06,0.019955211158663114,0.006760473412713223,0.2279323407101237,1.6563597517756992e-06,0.0
2,Gaussian,250,1.0,Mean,1.7773962667888554e-05,0.3001056454394505,0.06411910774660616,4.814114634331297,0.9096964970231056,0.06069506239145994
3,Gaussian,250,1.0,Std,6.913016093457926e-06,0.05736629608613775,0.022693908794610047,0.40406587280099876,1.3686171035013162e-06,0.0021132208872497583
4,Hard Bimodal,250,2.0,Mean,2.3787370739825064e-08,0.01111351869611623,0.19401249146450955,1.2867000160228617,0.9096945449709892,0.016347481170669198
5,Hard Bimodal,250,2.0,Std,4.991301281108329e-09,0.0011950922080765714,0.16356494998972554,0.015668655458719365,2.1682981698860935e-06,0.0002498424211753871
6,Soft Trimodal,250,3.0,Mean,7.002250043797176e-06,0.18947427612642515,0.14726439140065967,2.3542070454753135,0.909695528447628,0.02854615543037653
7,Soft Trimodal,250,3.0,Std,2.0794103927971693e-06,0.029621911801009197,0.14136821338136765,0.21110695928001177,2.038996731597443e-06,0.0007601353379663649
8,Edgy trimodal,250,4.0,Mean,7.565483839400144e-08,0.019785708736427137,0.07531865017042629,1.5176217409698411,0.9096949100494385,0.010758729884400964
9,Edgy trimodal,250,4.0,Std,1.8966548717171456e-08,0.00242653653504208,0.020316938845903125,0.04508405018831631,1.4966582691061162e-06,0.00028271324971585637
